"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"S63,S64";"STAB_MX_2.25u";2;"MX_stab";;;
2;"S82";"STAB_MX_3u";1;"MX_stab";;;
3;"S30";"STAB_MX_2u";1;"MX_stab";;;
4;"S81,S76";"STAB_MX_2.75u";2;"MX_stab";;;
5;"MX52,MX2,MX55,MX18,MX24,MX69,MX66,MX84,MX58,MX64,MX73,MX61,MX63,MX89,MX22,MX44,MX67,MX74,MX36,MX39,MX88,MX19,MX3,MX71,MX27,MX5,MX76,MX9,MX13,MX21,MX33,MX26,MX12,MX16,MX40,MX82,MX43,MX30,MX7,MX68,MX17,MX35,MX4,MX8,MX1,MX49,MX48,MX62,MX75,MX25,MX32,MX15,MX41,MX86,MX60,MX10,MX81,MX65,MX14,MX38,MX46,MX53,MX29,MX23,MX31,MX37,MX42,MX90,MX45,MX20,MX85,MX50,MX54,MX11,MX28,MX57,MX59,MX6,MX56,MX70,MX77,MX72,MX87";"SW_MX_HS_CPG151101S11_1u";83;"MX_SW_HS";;;
6;"D88,D7,D33,D5,D55,D83,D43,D70,D42,D60,D26,D11,D40,D44,D66,D78,D32,D72,D61,D57,D23,D54,D76,D36,D31,D17,D12,D74,D59,D38,D53,D56,D2,D22,D29,D67,D47,D50,D45,D46,D51,D52,D65,D19,D84,D35,D80,D30,D87,D15,D10,D8,D58,D27,D21,D85,D75,D13,D73,D6,D77,D82,D86,D62,D16,D28,D24,D37,D63,D14,D1,D49,D4,D41,D69,D90,D3,D68,D64,D48,D25,D34,D89,D79,D9,D81,D20,D71,D39,D18";"D_SOD-123";90;"D_Small";;;
7;"R1,R5,R3,R4,R2";"R_0402_1005Metric";5;"5.1k";;;
8;"C3,C9,C2,C1,C5";"C_0402_1005Metric";5;"1u";;;
9;"C6,C7";"C_0402_1005Metric";2;"22p";;;
10;"C11,C13,C16,C14,C12,C4,C10,C15";"C_0402_1005Metric";8;"100n";;;
11;"MX78,MX83,MX80,MX79";"SW_MX_HS_CPG151101S11_1.25u";4;"MX_SW_HS";;;
12;"U4";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
13;"R7,R8";"R_0402_1005Metric";2;"27";;;
14;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
15;"U3";"SOT-23-6";1;"SRV05-4";;;
16;"MX34,MX47";"SW_MX_HS_CPG151101S11_1.5u";2;"MX_SW_HS";;;
17;"F1";"Fuse_1206_3216Metric";1;"Fuse_Small";;;
18;"J3";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
19;"R6,R9";"R_0402_1005Metric";2;"1k";;;
20;"J2";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"Conn_01x04";;;
21;"BOOT1,RST1";"SW_SPST_TL3342";2;"SW_Push";;;
22;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
23;"U2";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
24;"C8";"C_0603_1608Metric";1;"10u";;;
25;"MX51";"SW_MX_HS_CPG151101S11_1.75u_STP_1.25";1;"MX_SW_HS";;;
26;"U1";"SOT-23-3";1;"XC6206PxxxMR";;;
