Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,SW_Push,SW_SPST_TL3342,244.009739,-298.596311,180.0,bottom
C1,1u,C_0402_1005Metric,430.048107,-159.98039,180.0,bottom
C10,100n,C_0402_1005Metric,261.219481,-293.586571,270.0,bottom
C11,100n,C_0402_1005Metric,267.21948,-296.892622,225.0,bottom
C12,100n,C_0402_1005Metric,259.85974,-287.592622,0.0,bottom
C13,100n,C_0402_1005Metric,276.00974,-287.600615,180.0,bottom
C14,100n,C_0402_1005Metric,269.719479,-294.917622,270.0,bottom
C15,100n,C_0402_1005Metric,265.76948,-282.042621,90.0,bottom
C16,100n,C_0402_1005Metric,267.24448,-282.017623,90.0,bottom
C2,1u,C_0402_1005Metric,433.40974,-163.896311,90.0,bottom
C3,1u,C_0402_1005Metric,268.21948,-294.917622,270.0,bottom
C4,100n,C_0402_1005Metric,266.06948,-298.042622,225.0,bottom
C5,1u,C_0402_1005Metric,265.26948,-298.842622,225.0,bottom
C6,22p,C_0402_1005Metric,259.60974,-282.296311,225.0,bottom
C7,22p,C_0402_1005Metric,259.380204,-278.545368,135.0,bottom
C8,10u,C_0603_1608Metric,275.61948,-295.667623,180.0,bottom
C9,1u,C_0402_1005Metric,272.14448,-292.267622,180.0,bottom
D1,D_Small,D_SOD-123,142.335905,-165.894908,146.0,bottom
D10,D_Small,D_SOD-123,355.463079,-168.117902,124.0,bottom
D11,D_Small,D_SOD-123,374.163077,-164.482991,124.0,bottom
D12,D_Small,D_SOD-123,392.863075,-160.84808,124.0,bottom
D13,D_Small,D_SOD-123,411.563072,-157.213168,124.0,bottom
D14,D_Small,D_SOD-123,465.486217,-154.849613,135.0,bottom
D15,D_Small,D_SOD-123,484.536217,-154.849613,135.0,bottom
D16,D_Small,D_SOD-123,503.586217,-154.849613,135.0,bottom
D17,D_Small,D_SOD-123,136.883538,-193.944905,146.0,bottom
D18,D_Small,D_SOD-123,155.583536,-197.579817,146.0,bottom
D19,D_Small,D_SOD-123,174.283534,-201.214728,146.0,bottom
D2,D_Small,D_SOD-123,175.060901,-172.256003,146.0,bottom
D20,D_Small,D_SOD-123,192.983532,-204.849639,146.0,bottom
D21,D_Small,D_SOD-123,211.683529,-208.484551,146.0,bottom
D22,D_Small,D_SOD-123,230.383527,-212.119462,146.0,bottom
D23,D_Small,D_SOD-123,249.083525,-215.754373,146.0,bottom
D24,D_Small,D_SOD-123,286.115455,-210.707545,124.0,bottom
D25,D_Small,D_SOD-123,304.815452,-207.072633,124.0,bottom
D26,D_Small,D_SOD-123,323.51545,-203.437722,124.0,bottom
D27,D_Small,D_SOD-123,342.215448,-199.80281,124.0,bottom
D28,D_Small,D_SOD-123,360.915446,-196.167899,124.0,bottom
D29,D_Small,D_SOD-123,379.615444,-192.532988,124.0,bottom
D3,D_Small,D_SOD-123,193.760899,-175.890915,146.0,bottom
D30,D_Small,D_SOD-123,407.665441,-187.080621,124.0,bottom
D31,D_Small,D_SOD-123,465.486217,-183.424613,135.0,bottom
D32,D_Small,D_SOD-123,484.536217,-183.424613,135.0,bottom
D33,D_Small,D_SOD-123,503.586217,-183.424613,135.0,bottom
D34,D_Small,D_SOD-123,137.923626,-213.553631,146.0,bottom
D35,D_Small,D_SOD-123,161.298623,-218.09727,146.0,bottom
D36,D_Small,D_SOD-123,179.998621,-221.732182,146.0,bottom
D37,D_Small,D_SOD-123,198.698619,-225.367093,146.0,bottom
D38,D_Small,D_SOD-123,217.398617,-229.002004,146.0,bottom
D39,D_Small,D_SOD-123,236.098615,-232.636916,146.0,bottom
D4,D_Small,D_SOD-123,212.460897,-179.525826,146.0,bottom
D40,D_Small,D_SOD-123,280.400367,-231.224998,124.0,bottom
D41,D_Small,D_SOD-123,299.100365,-227.590087,124.0,bottom
D42,D_Small,D_SOD-123,317.800363,-223.955175,124.0,bottom
D43,D_Small,D_SOD-123,336.500361,-220.320264,124.0,bottom
D44,D_Small,D_SOD-123,355.200358,-216.685353,124.0,bottom
D45,D_Small,D_SOD-123,373.900356,-213.050441,124.0,bottom
D46,D_Small,D_SOD-123,392.600354,-209.41553,124.0,bottom
D47,D_Small,D_SOD-123,415.975351,-204.871891,124.0,bottom
D48,D_Small,D_SOD-123,465.486217,-202.474613,135.0,bottom
D49,D_Small,D_SOD-123,484.536217,-202.474613,135.0,bottom
D5,D_Small,D_SOD-123,231.160895,-183.160737,146.0,bottom
D50,D_Small,D_SOD-123,503.586217,-202.474613,135.0,bottom
D51,D_Small,D_SOD-123,136.626214,-232.707993,146.0,bottom
D52,D_Small,D_SOD-123,162.338711,-237.705996,146.0,bottom
D53,D_Small,D_SOD-123,181.038709,-241.340907,146.0,bottom
D54,D_Small,D_SOD-123,199.738707,-244.975819,146.0,bottom
D55,D_Small,D_SOD-123,218.438705,-248.61073,146.0,bottom
D56,D_Small,D_SOD-123,237.138703,-252.245641,146.0,bottom
D57,D_Small,D_SOD-123,288.710278,-249.016268,124.0,bottom
D58,D_Small,D_SOD-123,307.410276,-245.381357,124.0,bottom
D59,D_Small,D_SOD-123,326.110274,-241.746445,124.0,bottom
D6,D_Small,D_SOD-123,271.313089,-184.475003,124.0,bottom
D60,D_Small,D_SOD-123,344.810271,-238.111534,124.0,bottom
D61,D_Small,D_SOD-123,363.510269,-234.476623,124.0,bottom
D62,D_Small,D_SOD-123,382.210267,-230.841711,124.0,bottom
D63,D_Small,D_SOD-123,412.597764,-224.93498,124.0,bottom
D64,D_Small,D_SOD-123,137.666303,-252.316718,146.0,bottom
D65,D_Small,D_SOD-123,168.053799,-258.223449,146.0,bottom
D66,D_Small,D_SOD-123,186.753797,-261.858361,146.0,bottom
D67,D_Small,D_SOD-123,205.453795,-265.493272,146.0,bottom
D68,D_Small,D_SOD-123,224.153793,-269.128183,146.0,bottom
D69,D_Small,D_SOD-123,242.85379,-272.763095,146.0,bottom
D7,D_Small,D_SOD-123,290.013086,-180.840092,124.0,bottom
D70,D_Small,D_SOD-123,282.99519,-269.533722,124.0,bottom
D71,D_Small,D_SOD-123,301.695188,-265.89881,124.0,bottom
D72,D_Small,D_SOD-123,320.395186,-262.263899,124.0,bottom
D73,D_Small,D_SOD-123,339.095184,-258.628988,124.0,bottom
D74,D_Small,D_SOD-123,357.795182,-254.994076,124.0,bottom
D75,D_Small,D_SOD-123,376.49518,-251.359165,124.0,bottom
D76,D_Small,D_SOD-123,411.557675,-244.543706,124.0,bottom
D77,D_Small,D_SOD-123,484.536217,-240.574613,135.0,bottom
D78,D_Small,D_SOD-123,124.681392,-269.199261,146.0,bottom
D79,D_Small,D_SOD-123,148.05639,-273.7429,146.0,bottom
D8,D_Small,D_SOD-123,308.713084,-177.205181,124.0,bottom
D80,D_Small,D_SOD-123,171.431387,-278.286539,146.0,bottom
D81,D_Small,D_SOD-123,208.831383,-285.556362,146.0,bottom
D82,D_Small,D_SOD-123,314.680098,-282.781352,124.0,bottom
D83,D_Small,D_SOD-123,354.417594,-275.057166,124.0,bottom
D84,D_Small,D_SOD-123,375.455091,-270.967891,124.0,bottom
D85,D_Small,D_SOD-123,394.155089,-267.332979,124.0,bottom
D86,D_Small,D_SOD-123,412.855087,-263.698068,124.0,bottom
D87,D_Small,D_SOD-123,431.555085,-260.063156,124.0,bottom
D88,D_Small,D_SOD-123,465.486217,-259.624613,135.0,bottom
D89,D_Small,D_SOD-123,484.536217,-259.624613,135.0,bottom
D9,D_Small,D_SOD-123,327.413082,-173.570269,124.0,bottom
D90,D_Small,D_SOD-123,503.586217,-259.624613,135.0,bottom
J3,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,271.087036,-276.600614,90.0,bottom
J4,78171-0004,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,442.20974,-153.596311,270.0,bottom
R3,5.1k,R_0402_1005Metric,250.2,-299.723146,180.0,bottom
R4,5.1k,R_0402_1005Metric,272.06948,-283.442621,90.0,bottom
R5,5.1k,R_0402_1005Metric,250.2,-298.123146,0.0,bottom
R6,1k,R_0402_1005Metric,250.2,-296.649999,180.0,bottom
R7,27,R_0402_1005Metric,272.644481,-299.242622,180.0,bottom
R8,27,R_0402_1005Metric,272.644481,-297.655122,0.0,bottom
R9,1k,R_0402_1005Metric,263.001415,-278.918507,225.0,bottom
RST1,SW_Push,SW_SPST_TL3342,244.047037,-291.000615,180.0,bottom
U1,XC6206PxxxMR,SOT-23-3,430.053506,-163.552274,0.0,bottom
U2,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,266.00974,-288.596311,180.0,bottom
U4,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,257.594479,-298.892622,180.0,bottom
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,261.294481,-280.567622,225.0,bottom
